university_id,university,country,founded_year,age_2026,roots_year,history_note,official_website,source_url,source_type,verification_status
109,University of Limerick,Ireland,1972,54,,The institution began as the National Institute for Higher Education in 1972 and became the University of Limerick in 1989.,https://www.ul.ie/,https://specialcollections.ul.ie/a-university-of-our-time/,Official university website,verified_official
110,Reichman University (IDC Herzliya),Israel,1994,32,,Established in 1994.,https://www.runi.ac.il/en/,https://www.runi.ac.il/en/about/,Official university website,verified_official
111,Libera Università Internazionale degli Studi Sociali (LUISS) 'Guido Carli',Italy,1977,49,1966.0,Current institution dates to 1977; institutional roots date to 1966.,https://www.luiss.edu/international-programs/erasmus-and-exchange-students/courses-english-erasmus-and-exchange-students,https://www.luiss.it/en/university/about-us/our-story,Official university website,verified_official
112,Università Ca' Foscari Venezia,Italy,1868,158,,Founded in 1868.,https://www.unive.it/data/9639?aa=2024&titolo=&periodo=&anno_corso=&ssd=&livello=&cds=&sede=&pagina=,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=819&relation_id=1848&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
113,Università Commerciale Luigi Bocconi,Italy,1902,124,,Founded in 1902.,https://www.unibocconi.eu/wps/wcm/connect/bocconi/sitopubblico_en/navigation+tree/home/programs/current+students/services/international+relations/international+students/international+student+desk/before+your+arrival/educational+offer,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=156&relation_id=269&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
114,Università degli Studi di Bologna 'Alma Mater Studiorum',Italy,1088,938,,The University of Bologna conventionally dates its foundation to 1088.,https://www.unibo.it/en,https://www.unibo.it/en/university/who-we-are/our-history/nine-centuries-of-history,Official university website,verified_official
115,Università degli Studi di Bologna 'Alma Mater Studiorum',Italy,1088,938,,The University of Bologna conventionally dates its foundation to 1088.,https://www.unibo.it/en,https://www.unibo.it/en/university/who-we-are/our-history/nine-centuries-of-history,Official university website,verified_official
116,Università degli Studi di Torino,Italy,1404,622,,Founded in 1404.,https://en.unito.it/international-relations/students-mobility/erasmus-and-exchange-students,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=159&relation_id=278&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
117,Hitotsubashi University,Japan,1875,151,,Founded in 1875.,https://www.hit-u.ac.jp/eng/,https://www.hit-u.ac.jp/eng/about/outline.html,Official university website,verified_official
118,Keio University,Japan,1858,168,,Founded in 1858.,http://www.econ.keio.ac.jp/wp/wp-content/uploads/2017/04/ECON_BAClasses-offered-in-Engish_AY2017.pdf,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=162&relation_id=700&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
119,NUCB Undergraduate School,Japan,1953,73,1935,Nagoya University of Commerce and Business was founded as a university in 1953; its predecessor school dates to 1935.,https://www.nucba.ac.jp/en/,https://www.nucba.ac.jp/en/university/history/,Official university website,verified_official
120,Rikkyo University,Japan,1874,152,,Founded in 1874.,https://ex.rikkyo-cob.jp/for-prospective-students/,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=166&relation_id=285&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
121,Ritsumeikan Asia Pacific University,Japan,2000,26,,Founded in 2000.,http://portal1.apu.ac.jp/syllabus/syllabus/search/Menu.do?LANGUAGE=2,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=161&relation_id=613&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
122,Ritsumeikan University,Japan,1900,126,1869.0,Current institution dates to 1900; institutional roots date to 1869.,http://en.ritsumei.ac.jp/skp/academics/rce/,https://en.ritsumei.ac.jp/profile/history/,Official university website,verified_official
123,Waseda University,Japan,1882,144,,Founded in 1882.,https://www.waseda.jp/fcom/soc/en/students/courses-in-english,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=163&relation_id=290&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
124,Vilnius University,Lithuania,1579,447,,Founded in 1579.,https://is.vu.lt/pls/pub/vustud.public_ni$wwwtprs.dalsar_show,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=173&relation_id=1653&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
125,Monash University Malaysia,Malaysia,1998,28,,Monash University Malaysia officially opened in 1998.,https://www.monash.edu.my/,https://www.monash.edu.my/about/for-review/history-of-monash-university-malaysia,Official university website,verified_official
126,University of Malaya,Malaysia,1905,121,,Universiti Malaya traces its founding to the King Edward VII College of Medicine in 1905; it became Universiti Malaya in 1949.,https://www.um.edu.my/,https://www.um.edu.my/our-history,Official university website,verified_official
127,Instituto Tecnológico Autónomo de México (ITAM),Mexico,1946,80,,Founded on 29 March 1946.,https://www.itam.mx/en,https://www.itam.mx/en/node/223,Official university website,verified_official
128,"Tec de Monterrey, Campus Guadalajara",Mexico,1943,83,,Tecnológico de Monterrey was founded in 1943; the CBS entries are individual Tec campuses.,https://tec.mx/,https://tec.mx/es/conocenos/nuestra-historia,Official university website,verified_official
129,"Tec de Monterrey, Campus Mexico City",Mexico,1943,83,,Tecnológico de Monterrey was founded in 1943; the CBS entries are individual Tec campuses.,https://tec.mx/,https://tec.mx/es/conocenos/nuestra-historia,Official university website,verified_official
130,"Tec de Monterrey, Campus Monterrey",Mexico,1943,83,,Founded in 1943.,https://linktr.ee/ipo.tec,https://cbs.adv-pub.moveon4.de/partner-universities/?core_id=179&relation_id=312&openwhichtab=relations&hide_elements=true&whichtab=all,CBS MoveON university profile,verified_cbs
